signal,pin,reset_required_state,runtime_role,imu_side_fact,firmware_requirement,remaining_validation
IMU_SPI_SCK,PE15,high-impedance,SPI5_SCK AF5,"ISM330DHCX supports modes 0/3; mode-3 clock stops high while CS high",Configure mode 3 at low slew after CS high; never toggle when glove unpowered,"LD6 loading and waveforms at 50/100 mm"
IMU_SPI_MISO,PH8,high-impedance,SPI5_MISO AF5,IMU serial output,Input/no pull until rail valid; never internally pull high,"backfeed current DK-off/glove-on"
IMU_SPI_MOSI,PG2,high-impedance,SPI5_MOSI AF5,IMU SDI driven/captured per mode 3,Keep quiet until State 2 and glove rail valid,"waveforms and backfeed"
IMU_THUMB_CS_N,PA3,external high,GPIO output active-low,CS high is SPI idle/I2C-enabled state,10k provisional pull-up to +3V3_IMU; preload latch high,"leakage low/high temp and asymmetric power"
IMU_INDEX_CS_N,PE14,external high,GPIO output active-low,CS high is SPI idle/I2C-enabled state,10k provisional pull-up to +3V3_IMU; preload latch high,"leakage low/high temp and asymmetric power"
IMU_MIDDLE_CS_N,PE7,external high,GPIO output active-low,CS high is SPI idle/I2C-enabled state,10k provisional pull-up to +3V3_IMU; preload latch high,"leakage low/high temp and asymmetric power"
IMU_RING_CS_N,PD6,external high,GPIO output active-low,CS high is SPI idle/I2C-enabled state,10k provisional pull-up to +3V3_IMU; preload latch high,"leakage low/high temp and asymmetric power"
IMU_PINKY_CS_N,PE13,external high,GPIO output active-low,CS high is SPI idle/I2C-enabled state,10k provisional pull-up to +3V3_IMU; preload latch high,"leakage low/high temp and asymmetric power"
IMU_THUMB_INT1,PE10,high-impedance/no pull,EXTI10,"Default active-high push-pull; datasheet warns against INT1 pull-up at power-on",Input/no pull; EXTI masked until IMU route configured,"edge/pulse/latched mode and asymmetric power"
IMU_INDEX_INT1,PH5,high-impedance/no pull,EXTI5,"Default active-high push-pull; datasheet warns against INT1 pull-up at power-on",Input/no pull; EXTI masked until IMU route configured,"edge/pulse/latched mode and asymmetric power"
IMU_MIDDLE_INT1,PE9,high-impedance/no pull,EXTI9,"Default active-high push-pull; datasheet warns against INT1 pull-up at power-on",Input/no pull; EXTI masked until IMU route configured,"edge/pulse/latched mode and asymmetric power"
IMU_RING_INT1,PD0,high-impedance/no pull,EXTI0,"Default active-high push-pull; datasheet warns against INT1 pull-up at power-on",Input/no pull; EXTI masked until IMU route configured,"edge/pulse/latched mode and asymmetric power"
IMU_PINKY_INT1,PD11,high-impedance/no pull,EXTI11,"Default active-high push-pull; datasheet warns against INT1 pull-up at power-on",Input/no pull; PA12 analog/high-Z; EXTI masked,"SB20/PA12 continuity and asymmetric power"
