field,value,status,evidence_or_next_action
project_name,PCB_GLOVE_DK_TASK_H_QUALIFICATION,RESERVED,"Source staging directory only"
classification,qualification only,SPECIFIED,"Must never be production-labeled"
repository,,,NOT_CREATED,"Initialize only after read-only board gates pass"
branch,,,NOT_CREATED,"Record controlled branch"
commit,,,NOT_CREATED,"Immutable source identity required"
clean_dirty_state,,,NOT_CREATED,"Require clean build"
STM32CubeN6_version,,,NOT_INSTALLED,"Install/pin official package"
CMSIS_version,,,NOT_INSTALLED,"Record pinned package version"
HAL_LL_version,,,NOT_INSTALLED,"Record pinned package version"
compiler,,,NOT_FOUND,"Install documented Arm toolchain"
compiler_version,,,NOT_FOUND,"Record exact version"
build_system,,,NOT_FOUND,"Install/configure documented build system"
linker_script,,,NOT_CREATED,"Select exact reversible application target"
startup_file,,,NOT_CREATED,"Use official exact-device startup"
target_mcu,STM32N657X0H3Q candidate,NOT_ACTUAL_BOARD_VERIFIED,"Confirm device ID/marking first"
optimization_level,,,NOT_SELECTED,"Use explicit qualification configuration"
build_configuration,,,NOT_CREATED,"Warnings treated as errors"
source_hashes,,,NO_SOURCE,"Hash every source after implementation"
binary_sha256,,,NO_BUILD,"No binary exists"
elf_sha256,,,NO_BUILD,"No ELF exists"
map_sha256,,,NO_BUILD,"No map exists"
build_log_sha256,,,NO_BUILD,"No build attempted"
flash_timestamp,,,NOT_FLASHED,"No device available"
programmer_log_sha256,,,NO_PROGRAMMER,"STM32CubeProgrammer unavailable"
