feature,manufacturer_value_or_view,manufacturer_tolerance_or_status,project_implementation,project_delta_or_rule,classification,source,result,notes
View convention,"SMT layout viewed from connector mounting surface; No. 1 circuit is rightmost","Explicit drawing note and marker","KiCad top/component-side view; pad 1 at X=+3.75 Y=-2.75","No mirror; direct catalog-view transcription","MANUFACTURER CONTROLLED","JST eZE page 2","PASS","Circuit 1 -> connector-mounting-surface land 1 -> PCB component-side land 1 -> KiCad top pad 1"
Signal pitch,1.50 mm,+/-0.05 mm,"1.50 mm between adjacent centers","0.000 mm","MANUFACTURER CONTROLLED","JST eZE page 2","PASS","Cumulative pitch tolerance is no more than +/-0.1 mm"
Signal array A,7.50 mm,"Reference-pattern dimension","Pad 1 X=+3.75 to pad 6 X=-3.75","0.000 mm nominal","MANUFACTURER CONTROLLED","JST eZE pages 2 and 5","PASS","Project origin at array/copper-envelope center is a project convention"
Signal land size,"0.80 mm minimum x 2.40 mm minimum","Minimum dimensions; all pattern dimensions called reference values","Pads 1-6 are rectangular 0.80 x 2.40 mm","No nominal size increase","MANUFACTURER MINIMUM / PROJECT CORNER CHOICE","JST eZE page 2","PASS","Rectangular corners are project-selected because JST gives no corner radius"
Pad 1 center,"Rightmost signal land in catalog mounting-surface view","Circuit 1 explicit","X=+3.75 Y=-2.75 mm","Direct transcription","MANUFACTURER CONTROLLED","JST eZE page 2","PASS","Visible C1 and C1/PAD 1 markings"
Pad 2 center,"1.50 mm left of pad 1","Pitch +/-0.05 mm","X=+2.25 Y=-2.75 mm","Direct transcription","MANUFACTURER CONTROLLED","JST eZE page 2","PASS","Electrical pad number 2"
Pad 3 center,"3.00 mm left of pad 1","Cumulative pitch no more than +/-0.1 mm","X=+0.75 Y=-2.75 mm","Direct transcription","MANUFACTURER CONTROLLED","JST eZE page 2","PASS","Electrical pad number 3"
Pad 4 center,"4.50 mm left of pad 1","Cumulative pitch no more than +/-0.1 mm","X=-0.75 Y=-2.75 mm","Direct transcription","MANUFACTURER CONTROLLED","JST eZE page 2","PASS","Electrical pad number 4"
Pad 5 center,"6.00 mm left of pad 1","Cumulative pitch no more than +/-0.1 mm","X=-2.25 Y=-2.75 mm","Direct transcription","MANUFACTURER CONTROLLED","JST eZE page 2","PASS","Electrical pad number 5"
Pad 6 center,"7.50 mm left of pad 1","Cumulative pitch no more than +/-0.1 mm","X=-3.75 Y=-2.75 mm","Direct transcription","MANUFACTURER CONTROLLED","JST eZE page 2","PASS","Electrical pad number 6"
Left retention land,"1.80 x 3.30 mm land; drawing relations place it outside signal row","+/-0.1 mm explicit on land dimensions","MP at X=-6.35 Y=+2.30 mm; 1.80 x 3.30 mm","Netless MP pad","MANUFACTURER CONTROLLED GEOMETRY","JST eZE page 2","PASS","F.Cu F.Mask and F.Paste; no electrical net"
Right retention land,"1.80 x 3.30 mm land; drawing relations place it outside signal row","+/-0.1 mm explicit on land dimensions","MP at X=+6.35 Y=+2.30 mm; 1.80 x 3.30 mm","Netless MP pad","MANUFACTURER CONTROLLED GEOMETRY","JST eZE page 2","PASS","F.Cu F.Mask and F.Paste; no electrical net"
Reference body width B,13.50 mm,"Nominal/reference; no maximum tolerance published","F.Fab X=-6.75..+6.75 mm","0.000 mm nominal","MANUFACTURER REFERENCE GEOMETRY","JST eZE page 5","PASS WITH OPEN MAX ENVELOPE","Not a maximum body width"
Reference body depth,5.80 mm,"Nominal/reference; no maximum tolerance published","F.Fab Y=-2.25..+3.55 mm","0.000 mm nominal","MANUFACTURER REFERENCE GEOMETRY","JST eZE page 5","PASS WITH OPEN MAX ENVELOPE","Not a maximum body depth"
Reference height,7.50 mm,"Nominal/reference; no maximum tolerance published","Recorded in reports only; no invented 3D keepout","No 2D copper effect","MANUFACTURER REFERENCE / OPEN PHYSICAL ENVELOPE","JST eZE page 5","OPEN","Mated height latch and cable bend remain unqualified"
F.Mask,"No published expansion rule","Not specified","F.Mask is included on every land with zero footprint-local adjustment","Effective opening inherits future board/process rules; isolated validation board renders 1:1","PROJECT SELECTED","Proposal 015M","PASS FOR ZERO LOCAL ADJUSTMENT ONLY","Mask expansion and assembly-process review remain open"
F.Paste,"No published reduction or stencil rule","Not specified","F.Paste is included on every land with zero footprint-local adjustment","Effective opening inherits future board/process rules; isolated validation board renders 1:1","PROJECT SELECTED","Proposal 015M","PASS FOR ZERO LOCAL ADJUSTMENT ONLY","Stencil thickness, reduction and paste process remain open"
F.CrtYd,"No manufacturer courtyard","Not applicable","Rectangle X=+/-7.75 Y=+/-4.45 mm","0.50 mm expansion around copper-land envelope","PROJECT SELECTED","Proposal 015M","PASS AS DOCUMENTED PROJECT RULE","Does not close latch cable bend snag or wearable clearance"
Cable direction,Top-entry header,"Mating face and wire exit are +Z; housing insertion travel is -Z; in-plane lock-release face not explicit","F.Fab says TOP ENTRY: MATING FACE +Z / INSERT HOUSING -Z / WIRE EXIT +Z","No in-plane latch direction invented","MANUFACTURER CONTROLLED + OPEN DETAIL","JST eZE pages 2 and 5","PASS FOR Z-AXIS RELATIONSHIP; OPEN FOR LOCK FACE","Outer-lock release-face direction remains a physical gate"
